"Country Name","Country Code","Indicator Name","Indicator Code","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Armenia","ARM","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2988648235.03487,3181070510.34328,3400526236.14884,3521771304.14438,3632325063.29325,3600808663.14085,3900779320.2229,4477457038.96183,5365759698.54994,5920483980.49507,6801049527.24035,7795848002.75093,9112357706.72322,9957823381.27937,7771768479.85734,7895354801.14977,8107503597.00637,9167918367.22997,9485060528.33705,9601951747.60688,9466501710.46717,9327833145.16188,10293869479.6439,10719481260.0959,11345604411.6894,10302611741.2014,10545755086.1819
"American Samoa","ASM","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","AUS","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060111764468.07,NA,NA,NA,NA,NA,NA
"Austria","AUT","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",118948313468.699,124384110522.106,132349528456.072,140281042592.321,143138881505.888,143241751471.442,149656280730.459,156619003154.387,157256865818.189,165133132608.023,166446199937.957,165126331338.222,168334971895.192,174455273919.542,174737932648.965,178555765032.794,183450028451.198,186911671325.831,194209356246.684,201637565183.341,210674654974.544,216867361292.501,221222373926.877,221082895484.647,226414440157.271,231288777521.72,236539558638.866,239859740446.827,247715776014.725,252621946419.23,261939104272.834,262539918676.654,269792422572.733,272433188465.506,280653702652.417,285823571768.749,297631392438.041,307605489169.343,312477916037.183,296916687260.016,302552289146.613,307148487790.753,305937256914.373,305278092522.689,307991891133.497,309509620837.21,321155975797.924,322043631798.935,328441225764.204,333361880330.664,311787176507.074,323669911071.103
"Azerbaijan","AZE","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43038971195.4602,NA,NA,NA,NA,NA,NA
"Burundi","BDI","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2232109159.6808,NA,NA,NA,NA,NA,NA
"Belgium","BEL","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",158315051613.088,163565285350.213,174037608505.293,186088104394.978,189251895474.981,186882010243.083,197640850391.296,197776343122.461,203426311778.836,207266082515.102,206131254219.766,200594289119.62,200234697189.895,201822259005.709,208310780752.417,214277850574.999,224597763354.191,231767076241.525,245810424497.369,254686471300.828,261916098195.175,267428923896.338,273878736624.178,275745295852.745,286517393712.914,291104616001.055,292418505729.269,302874507867.162,308935612089.856,316336548208.844,324926663466.434,324886071610.633,330936644463.806,331995184819.334,339964904821.625,344556498067.968,350661619020.088,363283178684.253,358396396186.881,352457331447.858,357986721740.273,351645791491.702,362120796986.455,365258765099.534,370985330016.788,381064891635.198,387554565048.325,392154277724.034,395509857802.588,406798680259.54,379535184719.811,402263397056.483
"Benin","BEN","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,2111971135.16032,2239202263.35554,2331140692.68364,2318594708.16064,2156381411.1481,2145108379.20647,2159101080.08619,2241916145.18678,2504769546.62757,2717458254.7781,2855303376.13712,2723409969.20921,2597305715.91743,2745353838.30327,3010450668.72816,2972684576.04731,2911432619.02374,3041580767.28573,2852575083.15488,3152003244.5754,3329367455.30945,3208916488.48148,3508088238.86016,3186551418.45394,3378673193.7913,3594162782.07994,3861207424.0888,4024753030.98627,4451781951.8841,4842524778.58319,5202357359.26476,5630680440.35549,5915561740.50187,6304061229.87846,6340590383.4759,6583997263.64285,6948495565.87697,7313893266.05851,7485275922.89166,7630535737.52637,7992359188.25972,8485110334.24627,9320889372.22853,9898950461.51874,10210946433.7156,10668526525.8966,11064764487.7391,11757990112.5614,12695139075.0807,13042691496.3013,14124930711.1443
"Burkina Faso","BFA","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2269607125.29754,2358872523.16612,2551265916.83841,2545565669.52976,2513964657.65992,2543766178.1464,2792390580.32646,2773475902.89508,2938347694.84751,2947121325.57062,2954583696.77737,3170003258.9443,3182054071.55677,3273173501.26467,3037292097.84846,3284254446.64325,3636632611.73577,3815484395.91663,4154565919.20412,4288612446.22599,4451821427.34573,4742746875.41616,4940440921.67007,5312789109.32467,5561141365.34817,5964879954.86849,6302128042.56638,6543479587.35072,6867097936.32322,7024092811.29908,7597917074.04836,8059324830.09416,9057110755.90707,9359747743.71335,9661290106.53611,10198918188.6912,11061483719.5369,11772156597.6228,12686637630.5271,13592776964.5137,13698676998.891,12950785773.1741
"Bangladesh","BGD","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,35821196460.3593,35445880819.7896,33786010141.9872,34054431610.4248,33196279862.2948,36197141495.2763,38429125297.2449,39175860571.9725,43863184199.15,42914447622.0053,43914258167.9956,44918733188.3894,49049473147.5496,50976360210.8416,52824336115.4217,54181128195.4445,55546575138.3512,59446990016.8001,58604039984.6803,60515050502.2001,62343886982.9956,65579511348.7254,68043949361.828,69991035538.8898,71500170402.8487,74469548775.6232,77781105183.0482,82193772416.5126,86142199344.251,89347556408.2549,93064891039.0209,100252204113.514,106804063706.007,115465628924.571,124093504572.508,130596169967.948,137184099165.349,145625602967.543,153838407496.029,163245979519.99,172506809719.003,179643566999.423,190332221808.999,203481139726.763,212734929033.513,232172024017.479,265512163746.117,276590006957.349,297059874833.489
"Bulgaria","BGR","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30553598527.088,29942675919.0617,23247332068.4916,23976128216.8275,22114318876.0126,22963132738.4963,24678837710.1809,26692587834.1372,27965120039.8066,30084036703.9231,31598775601.8215,33170368410.7384,34172026836.8846,38026852226.9388,37727418784.4932,38215191475.8116,39666390999.5102,40530281964.8697,39972337125.5201,40906501984.3323,41775029209.2939,43947824059.5785,45752202204.7107,46624761464.6641,49589819299.6908,48591685793.623,52527127887.2157
"Bahrain","BHR","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9504634174.09787,9891983616.49319,9258870128.08737,10551966481.8454,11118778698.6113,12724332637.2141,14572434204.401,17335410061.126,19072536383.3405,17404778548.1883,18419706962.49,17159397429.8439,21008049831.1995,22488173279.7746,22865943831.7741,23408567786.7091,24707476464.8632,26099060556.3988,25481019792.0402,25914914731.9614,23692167031.8897,NA
"Bahamas, The","BHS","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6423534019.89469,6308728337.40554,5878402911.09371,5917663457.68363,5765054149.33678,5860163924.21867,7229519470.85311,8187984164.40301,8975590811.16458,9697234037.06056,10704682811.346,11172105221.8114,10877382912.1489,12060034996.5168,11801248175.246,11465143050.8549,12005911586.1406,11636815290.2031,12151158764.7344,11766699056.47,10641919158.6998,10336768922.3517,10141368625.0799,10151102633.708,9866024664.41555,10107743210.3723,10367560246.349,10396936068.3474,10986531511.9974,10796822516.2428,11018015722.3077,8109974962.75823,9220568552.41217
"Bosnia and Herzegovina","BIH","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9293255575.68484,9499688475.0177,9993771728.0593,10244655299.0144,11354418803.0784,11541293961.8532,12454727774.446,13097785755.7755,14045623619.0488,13650988966.9466,13338990540.022,13024592939.6231,12620754307.4136,12915270744.4911,12983859608.7259,13651574237.7534,14350209299.8753,14893196415.222,15645514227.716,16291465965.9501,15763002763.5977,17125880645.4222
"Belarus","BLR","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17011436753.6822,13529766820.6246,11366844107.8596,10216116912.4408,10868467159.3103,11833987447.3816,13138228932.1333,13534315156.2347,14782921134.6984,16291184558.6509,17517153115.8928,19242993476.8988,21720231243.7133,24961174211.076,28559537207.6829,31561626846.8588,36723920686.1386,35186420765.757,38003963924.0877,44815103030.191,46463220635.3086,46354927208.0497,47846263665.2281,45644199338.8615,43053633541.8156,44815880965.0966,47569448661.7245,48931377824.1291,48125202739.9553,49636482202.7079
"Belize","BLZ","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537192192.976855,429529849.221782,418547085.550295,416175617.377338,419756535.101401,378392410.130732,415049932.197246,497301940.969079,564213800.351627,618621307.667153,898273626.829667,963791789.900179,1018911712.24302,1073950822.6106,1095153385.87077,1121613379.29249,1122236022.62817,1066550142.70207,1108186592.26966,1177533834.37891,1179235045.1939,1226321542.83218,1280248196.3823,1297015840.54301,1306696982.47308,1337071279.42848,1360487860.04458,1369207495.89445,1300311639.08848,1360072909.50112,1312801367.8277,1362221161.62569,1438689063.61159,1521518239.0147,1594124379.54165,1767906855.51798,1778924398.04067,1756161629.05346,1729819303.57741,1810510213.50837,1610457720.03483,1826816441.08413
"Bermuda","BMU","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","BOL","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,10243696556.7979,10509658991.0977,10118648553.2625,10069819510.369,9641521605.53807,10066792313.2212,9347297878.86408,9227013493.28649,9141124258.11793,9568638970.90567,9205624892.98,9623187961.38758,9696912326.45906,9939662269.02962,10465187839.2119,10994054359.9296,11188431413.065,11489004922.9548,11983756180.2918,12649351740.2324,13427587825.6035,14206496942.3367,15072478120.5091,14757603962.6668,14590128013.3687,15057128775.0631,15555343840.2939,15985557072.0848,16558575103.3541,16898967149.424,18053688251.4435,18848096173.5212,20979149996.6755,21435800539.9287,22811069710.5796,23883347190.4217,24435717581.3029,25794768768.8962,26603965193.7511,27893798723.5079,29397354544.4701,25143308831.345,26387751542.4363,27094527377.3967,24823870319.7403,24767379146.1396
"Brazil","BRA","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",329110880000.362,368091775463.708,414137942657.722,473324309594.753,502447211543.688,520648252165.583,577026814884.829,604450867733.063,622321136945.783,657039906496.319,690526638622.235,645091781763.082,643119147954.105,609406484487.03,649729673703.975,578800408642.522,654724453920.382,665795735850.07,665018812418.609,738402519672.885,750272560493.95,772272204448.97,774164576100.743,809359236452.688,853512696187.512,930801988556.569,965232880866.783,985700389318.122,969049036788.402,930650846468.133,965374492739.019,966883368474.613,991462235799.324,1000147347743.49,1070949803660.73,1092439168209.47,1153750812270.98,1233167292430.35,1279114301312.37,1268514679428.89,1349873827942.33,1391690593359.33,1375518432996.86,1435186183255.68,1423738181190.68,1344519763892.24,1294682926781.47,1345642385705.46,1358080917455.87,1375688443906.62,1339283737663.96,1357502419841.13
"Barbados","BRB","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3991714767.10296,NA,NA,NA,NA,NA,NA
"Brunei Darussalam","BRN","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4461385893.8535,5060781559.90271,5164741351.69288,4915881480.23591,4635906062.28715,4514700422.27552,6101124976.59917,5059693599.29088,4727291370.36982,4994711843.98238,5017773167.25018,5190081057.17382,5562815113.20249,5823896605.50206,6565326207.17563,7486860351.82464,8177710457.40378,8455569438.52223,10289753086.6019,8684006313.58804,9679876698.3943,11251843920.4371,12059354757.3628,12076020590.1185,11849661766.7964,10647352234.2435,10226256364.7561,10678260318.4649,10440365642.4659,10849023951.4542,10445766269.9868,10204710887.6713
"Bhutan","BTN","Adjusted net national income (constant 2015 US$)","NY.ADJ.NNTY.KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347540187.959075,327463238.849696,325665049.282339,331367178.134672,374800788.770004,375964639.886188,398712995.912289,450496675.429866,440088751.969391,457845140.013065,595151917.029488,652814149.16539,718998962.853538,761950969.145387,804965475.619515,869367539.977859,907318981.765495,1027561128.68019,1067020723.33524,1133609765.07465,1216957160.82409,1304624347.00161,1359194079.69473,1403097398.08599,1518676984.37313,1625361112.17538,1709577048.77155,1815123422.90651,1880834166.64244,2078563542.73577,1983375877.79143,1991082695.47577
